Customer ID,Age,Gender,Item Purchased,Category,Price,Quantity,Size,Color,Season,Rating,Payment Mode,Subscription Status,Total Amount
CUST0001,61,Other,Board Game,Toys,484.89,7,,Green,Summer,3.4,UPI,Yes,3394.23
CUST0002,53,Male,Plant Pot,Home & Garden,433.43,9,M,Green,Fall,2.9,Debit Card,Yes,3900.87
CUST0003,22,Other,Water Bottle,Sports,409.45,2,XL,White,Spring,3.6,UPI,Yes,818.9
CUST0004,30,Other,Lego Set,Toys,132.66,5,XL,Green,Summer,1.3,Cash,Yes,663.3
CUST0005,46,Other,Self-Help,Books,89.59,6,S,Black,Fall,3.3,UPI,Yes,537.54
CUST0006,48,Female,Cycle Helmet,Sports,335.98,4,XL,Green,Summer,3.2,Cash,No,1343.92
CUST0007,64,Female,Cycle Helmet,Sports,465.04,4,XL,Blue,Spring,3.2,UPI,No,1860.16
CUST0008,33,Other,Puzzle,Toys,280.6,4,,Green,Summer,3.4,Debit Card,No,1122.4
CUST0009,,Male,Sweater,Clothing,287.95,2,XL,Red,Spring,3.7,Cash,No,575.9
CUST0010,47,Other,Biography,Books,143.59,4,M,Yellow,Summer,4.2,Credit Card,No,574.36
CUST0011,33,Other,Remote Car,Toys,385.9,1,XL,Blue,Spring,2.1,Cash,No,385.9
CUST0012,29,Male,Biography,Books,97.59,6,XXL,Red,Summer,4.3,Debit Card,Yes,585.54
CUST0013,34,Other,Comic,Books,165.22,1,XL,Orange,Spring,3,Cash,No,165.22
CUST0014,33,Male,Cycle Helmet,Sports,215.59,6,XL,Blue,Winter,,UPI,Yes,1293.54
CUST0015,29,Female,Rug,Home & Garden,256.27,1,XS,Black,Summer,1.2,UPI,Yes,256.27
CUST0016,25,Female,Textbook,Books,124.99,6,M,Yellow,Summer,2.3,Debit Card,No,749.94
CUST0017,37,Male,Mascara,Beauty,61.84,8,S,Yellow,Fall,4.1,PayPal,No,494.72
CUST0018,20,Female,Dumbbells,Sports,,2,XS,Black,Fall,3.8,UPI,No,
CUST0019,33,Female,Dress,Clothing,147.87,2,L,Yellow,Spring,4.2,Credit Card,No,295.74
CUST0020,47,Male,Lamp,Home & Garden,292.71,4,M,Black,Summer,3.1,Debit Card,No,1170.84
CUST0021,62,Female,Perfume,Beauty,81.41,3,XXL,Red,Spring,2.8,Cash,No,244.23
CUST0022,40,Other,Mascara,Beauty,243.16,4,M,Orange,Winter,1.6,Cash,No,972.64
CUST0023,45,Other,Jeans,Clothing,,7,L,White,Fall,2.3,Credit Card,Yes,
CUST0024,68,Male,Vase,Home & Garden,30.65,1,L,Blue,Spring,,UPI,No,30.65
CUST0025,57,Female,Water Bottle,Sports,171.62,6,L,Black,Spring,1.4,Debit Card,No,1029.72
CUST0026,22,Other,Phone,Electronics,71.54,3,,Blue,Fall,1.9,Credit Card,Yes,214.62
CUST0027,37,Other,Rug,Home & Garden,36.37,7,S,Orange,Summer,3.4,UPI,No,254.59
CUST0028,57,Female,T-Shirt,Clothing,495.03,2,XL,Red,Spring,3.9,Debit Card,No,990.06
CUST0029,61,Female,Mascara,Beauty,164.57,2,M,White,Fall,5,Cash,Yes,329.14
CUST0030,18,Other,Water Bottle,Sports,405.89,4,,Orange,Summer,4.7,Debit Card,No,1623.56
CUST0031,47,Other,Lamp,Home & Garden,131.05,1,XL,Red,Winter,3.6,PayPal,No,131.05
CUST0032,38,Male,Phone,Electronics,342.34,3,XL,Yellow,Fall,2.7,Debit Card,No,1027.02
CUST0033,37,Male,Phone,Electronics,381.31,9,XXL,Blue,Spring,3.5,PayPal,No,3431.79
CUST0034,23,Other,Novel,Books,299.84,7,L,Purple,Winter,,Debit Card,No,2098.88
CUST0035,39,Male,Textbook,Books,238.43,7,S,White,Summer,1.5,PayPal,No,1669.01
CUST0036,35,Other,Lego Set,Toys,208.86,4,XXL,Yellow,Summer,2.6,Cash,Yes,835.44
CUST0037,25,Other,Sweater,Clothing,,2,XS,Orange,Fall,4.4,UPI,No,
CUST0038,56,Male,Rug,Home & Garden,465.12,4,,White,Fall,2.5,PayPal,No,1860.48
CUST0039,,Male,Lamp,Home & Garden,416.16,6,,Yellow,Fall,3.3,PayPal,Yes,2496.96
